cdCartaConsulta,nmProjeto,nmSetor,Regiao,nmAbrangenciaNacional,sgFonte,VlDolar,CpVlDolar,dtRecebimento,dtValidadeRecomendacao,dtAprovDiretoria,dtAssinatura,dtUltimoDesembolsoOriginal,dtUltimoDesembolsoVigente,ano_recebimento,ano_assinatura,fase_tipo,dias_ate_assinatura,dias_ate_ultimo_desembolso,dias_entre_assinatura_e_desembolso,projeto_assinado,projeto_desembolsado,projeto_multi_fonte
60371,PROJETO ALFA/PROJECT ALFA,,Sudeste,Federal,Ch_Inst,750000000.0,200000000.0,2017-07-03 00:00:00,,,,,,2017,,Arquivado,,,,False,False,False
60371,PROJETO ALFA/PROJECT ALFA,,Sudeste,Federal,Ch_Inst,750000000.0,250000000.0,2017-07-03 00:00:00,,,,,,2017,,Arquivado,,,,False,False,False
12761,Programa de Desenvolvimento do Turismo Nacional - PRODETUR NACIONAL GOIÂNIA,Comércio e Serviços (Turismo),Centro Oeste,Municipal,BID,25000000.0,25000000.0,2008-08-14 00:00:00,2013-07-27 00:00:00,,,,,2008,,Arquivado,,,,False,False,False
59718,Apoio à Execução da Estratégia Nacional de Simplificação do Comércio Exterior,Fortalecimento Institucional,Nacional,Federal,BID/PRODEV,495500.0,0.0,2009-09-04 00:00:00,,,,,,2009,,Arquivado,,,,False,False,False
61246,Programa Novo Seguro de Crédito à Exportação (NSCE) da ABGF,Fortalecimento Institucional,Nacional,Federal,BID,300000000.0,0.0,2024-11-05 00:00:00,2026-12-18 00:00:00,,,,,2024,,Em tramitação,,,,False,False,False
58612,Projeto Piloto de Assentamento Privado,Fortalecimento Institucional,Centro Oeste,Estadual,BID/FUMIN,690000.0,690000.0,1999-03-02 00:00:00,,,,,,1999,,Arquivado,,,,False,False,False
60890,Programa de Financiamento para a Recuperação Produtiva e Sustentável das MPMEs em Santa Catarina,Crédito,Sul,Estadual,BID,50000000.0,0.0,2022-08-16 00:00:00,2024-11-11 00:00:00,,,,,2022,,Aguardando ação,,,,False,False,False
60672,Programa Desenvolve SP - Infraestruturas Sustentáveis,Crédito,Sudeste,Estadual,BID,110000000.0,0.0,2021-09-27 00:00:00,2023-11-08 00:00:00,,,,,2021,,Aguardando ação,,,,False,False,True
60672,Programa Desenvolve SP - Infraestruturas Sustentáveis,Crédito,Sudeste,Estadual,NDB,90000000.0,0.0,2021-09-27 00:00:00,2022-02-06 00:00:00,2022-03-22,,,,2021,,Aguardando ação,,,,False,False,True
60743,Novos instrumentos de financiamento de inovação para o Estado de São Paulo,Crédito,Sudeste,Estadual,BID,195000000.0,0.0,2020-11-26 00:00:00,2022-12-30 00:00:00,,,,,2020,,Aguardando ação,,,,False,False,False
57987,Plano Estrat. de Rec. Hídricos da Bacia Hidrog. dos Rios Tocantins e Araguaia,Meio Ambiente,Nacional,Federal,BID/JSF,960000.0,240000.0,2002-09-19 00:00:00,,,,,,2002,,Arquivado,,,,False,False,False
58975,Plano Estrat. de Rec. Híd. da Bacia Hidrográfica dos Rios Araguaia-Tocantins,Meio Ambiente,Nacional,Federal,BID/INWAP,110000.0,20000.0,2003-04-22 00:00:00,,,,,,2003,,Arquivado,,,,False,False,False
59028,Integrated and Sustainable Management of Transboundary Water Resources in the Amazon River Basin considering climate variability and change (projeto regional),Meio Ambiente,Nacional,Federal,GEF/PNUMA,0.0,0.0,2007-09-14 00:00:00,,2009-10-05,2010-09-07,2014-09-30 00:00:00,2014-09-30 00:00:00,2007,2010.0,Ativo/Executado,1089.0,2573.0,1484.0,True,True,False
59031,Implement. do Prog. de Ação Estrat. (Sap) p/o Proj. da Bacia São Francisco e Su,Meio Ambiente,Nacional,Federal,GEF/PNUMA,9000000.0,30000000.0,2003-09-11 00:00:00,,,,,,2003,,Arquivado,,,,False,False,False
60564,"Fortalecimento da Gestão Integrada de Recursos Hídricos com foco na Implementação do Plano de Recursos Hídricos da Bacia do Alto Paraguai, contribuindo para a solução de conflitos e a conservação dos Recursos Hídricos no Pantanal.",Meio Ambiente,Nacional,Federal,GEF,8505000.0,0.0,2018-09-27 00:00:00,,,,,,2018,,Arquivado,,,,False,False,False
60698,"Cooperação Transfronteiriça para Conservação, Desenvolvimento Sustentável e Gestão Integrada da Bacia Hidrográfica do Alto Paraguai, com ênfase no Pantanal.",Meio Ambiente,Nacional,Federal,GEF,17380050.0,0.0,2020-03-12 00:00:00,,,,,,2020,,Em tramitação,,,,False,False,False
60955,Em direção de uma melhor compreensão dos sistemas aquíferos amazônicos para sua proteção e gestão sustentável,,Nacional,Federal,GEF,20317500.0,0.0,2022-09-16 00:00:00,,,,,,2022,,Em tramitação,,,,False,False,False
60545,Satélite Atmosférico de Grandes Altitudes,,Sudeste,Federal,Ch_Inst,1083974241.24,16025758.76,2018-09-05 00:00:00,,,,,,2018,,Arquivado,,,,False,False,False
59188,GVEP Brazil Guarantee and Enterprise Incubation Facility,Meio Ambiente,Nacional,Federal,GEF/PNUD,25000.0,25000.0,2005-05-16 00:00:00,,,,,,2005,,Arquivado,,,,False,False,False
61208,PROGRAMA DE FINANCIAMENTO PARA RECUPERAÇÃO RESILIENTE E SUSTENTABILIDADE DAS MPMEs DO RIO GRANDE DO SUL,Crédito,Sul,Estadual,BID,200000000.0,0.0,2024-07-31 00:00:00,,,,,,2024,,Aguardando ação,,,,False,False,False
61256,PROMUR-RS (Programa de Apoio à Recuperação Municipal do Rio Grande do Sul),,Sul,Estadual,AIIB,150000000.0,0.0,2024-10-14 00:00:00,,,,,,2024,,Em tramitação,,,,False,False,False
60517,Pedra de Ferro,,Nacional,Federal,Debt Investment,1600214616.0,0.0,2018-07-20 00:00:00,,,,,,2018,,Arquivado,,,,False,False,True
60517,Pedra de Ferro,,Nacional,Federal,Equity Investment,400053654.0,0.0,2018-07-20 00:00:00,,,,,,2018,,Arquivado,,,,False,False,True
59181,Programa de Sustentabilidade Ambiental para a Amazônia - Amazônia Verde,Encargos Especiais,Norte,Estadual,JBIC,72900000.0,35100000.0,2005-05-13 00:00:00,,,,,,2005,,Arquivado,,,,False,False,False
60410,Teste Aloísio 14 jul,,Nacional,Federal,Ch_Inst,155.7535,155.7535,2017-07-14 00:00:00,,,,,,2017,,Arquivado,,,,False,False,False
60910,Programa de Fomento à Bioeconomia do Banco da Amazônia,Crédito,Nacional,Federal,BID,75000000.0,0.0,2022-08-09 00:00:00,2024-09-26 00:00:00,,,,,2022,,Em tramitação,,,,False,False,True
60910,Programa de Fomento à Bioeconomia do Banco da Amazônia,Crédito,Nacional,Federal,GCF,75000000.0,0.0,2022-08-09 00:00:00,2024-09-26 00:00:00,,,,,2022,,Em tramitação,,,,False,False,True
61072,Programa de Fomento a Energia Sustentável na Amazônia,Crédito,Nacional,Federal,BIRD,100000000.0,0.0,2024-01-25 00:00:00,2026-03-18 00:00:00,,,,,2024,,Em tramitação,,,,False,False,False
